#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:127 out:127 type:P dur:2 cpbdur:2 q:29.03 aq:21.10 tex:30233 mv:4642 misc:413 imb:457 pmb:151 smb:312 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.03 aq:20.89 tex:20200 mv:3784 misc:560 imb:212 pmb:244 smb:464 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:21.25 tex:281 mv:49 misc:254 imb:0 pmb:13 smb:907 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:23.69 tex:20112 mv:3122 misc:582 imb:182 pmb:202 smb:536 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:29.03 aq:23.38 tex:19882 mv:3278 misc:576 imb:151 pmb:223 smb:546 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.03 aq:21.22 tex:30888 mv:6114 misc:198 imb:738 pmb:171 smb:11 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:29.03 aq:21.17 tex:22485 mv:4380 misc:695 imb:216 pmb:272 smb:432 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:29.03 aq:20.16 tex:381 mv:128 misc:307 imb:5 pmb:19 smb:896 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:29.03 aq:23.26 tex:27219 mv:4669 misc:560 imb:219 pmb:260 smb:441 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:29.03 aq:23.95 tex:13794 mv:4042 misc:644 imb:49 pmb:313 smb:558 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:29.03 aq:24.48 tex:29085 mv:3886 misc:493 imb:176 pmb:204 smb:540 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:29.03 aq:21.19 tex:35918 mv:5767 misc:323 imb:542 pmb:206 smb:172 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:29.03 aq:19.63 tex:401 mv:124 misc:299 imb:3 pmb:16 smb:901 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:29.03 aq:23.48 tex:25714 mv:4066 misc:540 imb:146 pmb:254 smb:520 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:29.03 aq:22.96 tex:21771 mv:4044 misc:537 imb:164 pmb:246 smb:510 d:- ref:0 ;
in:143 out:142 type:P dur:2 cpbdur:2 q:29.03 aq:22.72 tex:33599 mv:4465 misc:504 imb:189 pmb:259 smb:472 d:- ref:0 ;
in:142 out:143 type:b dur:2 cpbdur:2 q:29.03 aq:25.94 tex:19081 mv:4375 misc:440 imb:96 pmb:226 smb:598 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:29.03 aq:21.32 tex:85 mv:21 misc:198 imb:0 pmb:5 smb:915 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:29.03 aq:23.13 tex:31455 mv:5709 misc:364 imb:397 pmb:229 smb:294 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:29.03 aq:24.22 tex:32620 mv:5147 misc:545 imb:211 pmb:303 smb:406 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:29.03 aq:23.64 tex:44625 mv:4992 misc:375 imb:420 pmb:142 smb:358 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:29.03 aq:23.13 tex:56020 mv:5959 misc:341 imb:351 pmb:238 smb:331 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:29.03 aq:21.78 tex:149 mv:39 misc:236 imb:0 pmb:9 smb:911 d:- ref:0 ;
