#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:116 out:116 type:P dur:2 cpbdur:2 q:29.03 aq:20.56 tex:12920 mv:3010 misc:622 imb:137 pmb:201 smb:582 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:29.03 aq:20.93 tex:13431 mv:3461 misc:652 imb:168 pmb:237 smb:515 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:29.03 aq:21.39 tex:30142 mv:4261 misc:461 imb:294 pmb:178 smb:448 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:29.03 aq:21.86 tex:297 mv:109 misc:298 imb:4 pmb:16 smb:900 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:29.03 aq:22.68 tex:17890 mv:3951 misc:583 imb:241 pmb:203 smb:476 d:- ref:0 ;
in:121 out:121 type:I dur:2 cpbdur:2 q:26.12 aq:18.83 tex:31629 mv:11543 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:122 out:122 type:P dur:2 cpbdur:2 q:29.03 aq:22.84 tex:22251 mv:4310 misc:559 imb:256 pmb:216 smb:448 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:29.03 aq:21.54 tex:36993 mv:5588 misc:387 imb:391 pmb:216 smb:313 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:29.03 aq:22.07 tex:333 mv:132 misc:287 imb:4 pmb:16 smb:900 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:29.03 aq:23.42 tex:30906 mv:4944 misc:510 imb:351 pmb:204 smb:365 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:29.03 aq:24.28 tex:29623 mv:4689 misc:408 imb:356 pmb:156 smb:408 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:29.03 aq:22.31 tex:27711 mv:5798 misc:227 imb:808 pmb:112 smb:0 d:- ref:0 w:6,77,0,7,91,38,106,20 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.03 aq:20.30 tex:23374 mv:4874 misc:400 imb:486 pmb:103 smb:331 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:19.17 tex:351 mv:136 misc:297 imb:9 pmb:11 smb:900 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:22.36 tex:13755 mv:3434 misc:531 imb:224 pmb:167 smb:529 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:29.03 aq:23.37 tex:19648 mv:3621 misc:531 imb:205 pmb:198 smb:517 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.03 aq:23.36 tex:19308 mv:3818 misc:522 imb:160 pmb:223 smb:537 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:29.03 aq:20.27 tex:35704 mv:6415 misc:153 imb:769 pmb:151 smb:0 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:29.03 aq:17.53 tex:269 mv:127 misc:300 imb:4 pmb:16 smb:900 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:29.03 aq:22.03 tex:17163 mv:4193 misc:564 imb:221 pmb:215 smb:484 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:29.03 aq:22.50 tex:19155 mv:4565 misc:560 imb:184 pmb:273 smb:463 d:- ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:29.03 aq:22.62 tex:32617 mv:4699 misc:540 imb:240 pmb:214 smb:466 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:29.03 aq:25.78 tex:14727 mv:4257 misc:456 imb:55 pmb:250 smb:615 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:29.03 aq:22.93 tex:145 mv:41 misc:214 imb:1 pmb:6 smb:913 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:29.03 aq:21.52 tex:30484 mv:5846 misc:238 imb:603 pmb:170 smb:147 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:29.03 aq:22.53 tex:23109 mv:4627 misc:512 imb:206 pmb:241 smb:473 d:- ref:0 ;
in:143 out:142 type:P dur:2 cpbdur:2 q:29.03 aq:21.65 tex:33115 mv:5209 misc:420 imb:264 pmb:218 smb:438 d:- ref:0 ;
in:142 out:143 type:b dur:2 cpbdur:2 q:29.03 aq:25.71 tex:15876 mv:5166 misc:486 imb:91 pmb:301 smb:528 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:29.03 aq:22.69 tex:176 mv:89 misc:263 imb:1 pmb:13 smb:906 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:29.03 aq:24.42 tex:24035 mv:4225 misc:436 imb:205 pmb:205 smb:510 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:29.03 aq:22.96 tex:32707 mv:6047 misc:302 imb:455 pmb:206 smb:259 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:29.03 aq:24.93 tex:31835 mv:5283 misc:450 imb:243 pmb:261 smb:416 d:- ref:0 ;
in:148 out:148 type:I dur:2 cpbdur:2 q:26.12 aq:19.48 tex:50716 mv:16757 misc:119 imb:920 pmb:0 smb:0 d:- ref:;
