#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:101 out:101 type:P dur:2 cpbdur:2 q:29.03 aq:22.26 tex:8878 mv:1007 misc:843 imb:12 pmb:290 smb:618 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:29.03 aq:20.92 tex:14041 mv:1532 misc:795 imb:35 pmb:400 smb:485 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:29.03 aq:21.80 tex:8326 mv:659 misc:871 imb:12 pmb:289 smb:619 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.03 aq:21.06 tex:4397 mv:422 misc:773 imb:8 pmb:164 smb:748 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.03 aq:20.81 tex:3890 mv:393 misc:733 imb:6 pmb:158 smb:756 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.03 aq:20.77 tex:6069 mv:621 misc:814 imb:14 pmb:220 smb:686 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.03 aq:19.78 tex:2959 mv:396 misc:709 imb:10 pmb:136 smb:774 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.03 aq:20.18 tex:2522 mv:366 misc:664 imb:11 pmb:111 smb:798 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:29.03 aq:21.22 tex:5499 mv:776 misc:805 imb:13 pmb:202 smb:705 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:29.03 aq:20.26 tex:368 mv:86 misc:386 imb:0 pmb:42 smb:878 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:29.03 aq:19.63 tex:30 mv:6 misc:148 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.03 aq:19.63 tex:30 mv:6 misc:148 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:29.03 aq:20.26 tex:16336 mv:1795 misc:717 imb:37 pmb:432 smb:451 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:29.03 aq:20.10 tex:389 mv:109 misc:390 imb:0 pmb:45 smb:875 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:29.03 aq:19.63 tex:30 mv:6 misc:148 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:29.03 aq:21.20 tex:307 mv:36 misc:305 imb:0 pmb:26 smb:894 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:29.03 aq:20.36 tex:10460 mv:916 misc:872 imb:18 pmb:342 smb:560 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:29.03 aq:20.24 tex:6695 mv:753 misc:840 imb:18 pmb:244 smb:658 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:29.03 aq:18.97 tex:191 mv:39 misc:258 imb:0 pmb:15 smb:905 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:29.03 aq:19.43 tex:75 mv:16 misc:173 imb:0 pmb:5 smb:915 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:29.03 aq:20.00 tex:196 mv:38 misc:254 imb:0 pmb:17 smb:903 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:29.03 aq:20.46 tex:6726 mv:939 misc:823 imb:18 pmb:256 smb:646 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:29.03 aq:19.19 tex:165 mv:72 misc:275 imb:0 pmb:22 smb:898 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:29.03 aq:19.84 tex:44 mv:18 misc:162 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:29.03 aq:21.56 tex:166 mv:39 misc:251 imb:0 pmb:16 smb:904 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:29.03 aq:19.72 tex:6101 mv:832 misc:843 imb:13 pmb:236 smb:671 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:29.03 aq:18.92 tex:166 mv:20 misc:246 imb:0 pmb:12 smb:908 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:29.03 aq:17.83 tex:34 mv:5 misc:153 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:19.02 tex:2348 mv:386 misc:634 imb:7 pmb:128 smb:785 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:29.03 aq:19.15 tex:137 mv:47 misc:256 imb:0 pmb:16 smb:904 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:29.03 aq:18.99 tex:54 mv:19 misc:175 imb:0 pmb:6 smb:914 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:29.03 aq:20.89 tex:33 mv:5 misc:154 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:29.03 aq:19.59 tex:2074 mv:388 misc:674 imb:4 pmb:122 smb:794 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:29.03 aq:21.35 tex:190 mv:31 misc:259 imb:0 pmb:16 smb:904 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:29.03 aq:20.99 tex:26 mv:2 misc:140 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:29.03 aq:17.86 tex:25 mv:2 misc:141 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:29.03 aq:20.44 tex:1131 mv:273 misc:540 imb:5 pmb:70 smb:845 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:29.03 aq:20.73 tex:171 mv:29 misc:248 imb:0 pmb:15 smb:905 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:29.03 aq:18.16 tex:23 mv:3 misc:142 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:29.03 aq:27.37 tex:3386 mv:521 misc:565 imb:13 pmb:105 smb:802 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:29.03 aq:17.83 tex:260 mv:184 misc:436 imb:1 pmb:63 smb:856 d:- ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:17 mv:86 misc:281 imb:0 pmb:26 smb:894 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:29.03 aq:12.72 tex:6436 mv:2604 misc:472 imb:524 pmb:40 smb:356 d:- ref:0 ;
in:150 out:147 type:P dur:2 cpbdur:2 q:29.03 aq:13.85 tex:4615 mv:1441 misc:648 imb:156 pmb:89 smb:675 d:- ref:0 ;
in:148 out:148 type:B dur:2 cpbdur:2 q:29.03 aq:19.57 tex:336 mv:129 misc:335 imb:1 pmb:43 smb:876 d:- ref:0 ;
